lema,categoria,url,definicion,ejemplos,frases
juez,nombre,https://diesgital.com/search?q=juez,"en sentido figurado, hombre que participa en un debate, discusión o en un proceso de evaluación; tiene la misión de tomar la decisión final",Yo no soy el juez de tu conciencia.,lo calificó el mismo juez que en el examen anterior || y él fue juez y parte en la discusión || ambos se creen jueces de la vida de los demás
juez,nombre,https://diesgital.com/search?q=juez,"en sentido figurado, hombre que participa en una competición o concurso; tiene la misión de asegurar el cumplimiento de las normas que regulan el evento, otorgar las puntuaciones y decidir las posiciones finales de los participantes en dicho concurso",Él tiene 40 años de experiencia como juez en el Concurso Nacional de Porra Antequerana.,y ése juez votó por otro concursante || y este competidor no recibirá las puntuaciones de los dos jueces || fue el mismo juez que decidió eliminar al concursante
juez,nombre,https://diesgital.com/search?q=juez,"en sentido figurado, mujer que participa en una competición o concurso; tiene la misión de asegurar el cumplimiento de las normas que regulan el evento, otorgar las puntuaciones y decidir las posiciones finales de los participantes en dicho concurso",La juez ha declarado que su voto se hará público la semana que viene.,y una de las jueces no votó por el ganador
juez,nombre,https://diesgital.com/search?q=juez,"en sentido figurado, persona (hombre o mujer) que participa en una competición o concurso; tiene la misión de asegurar el cumplimiento de las normas que regulan el evento, otorgar las puntuaciones y decidir las posiciones finales de los participantes en dicho concurso",Los jueces decidieron el ganador fiándose de una película de cine.,que hará de juez en el programa de talentos || además de ser jueces en el concurso de baile || los jueces asignan puntuaciones con números cardinales
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, intervenir en un asunto del que se espera algún beneficio pero que supone un riesgo",Ha jugado en bolsa varios miles de euros.,para jugar en bolsa hay que ser muy fío
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, tratar algo sin concederle la importancia o la consideración que merece",Ha estado jugando con fuego todo este tiempo y al final se ha quemado.,"estaba jugando con sus sentimientos || y por jugar con su salud, ese joven está muy enfermo"
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, participar en un sorteo o juego de azar",Mi padre lleva veinte años jugando a la lotería sin ganar ningún premio.,"y aunque es muy fácil, mi hermana no sabe jugar al tute || ha dejado de jugar y de beber y está más tranquilo"
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, tratar a una persona con poca consideración, manipulándola, engañándola o burlándose de ella",Ja jugado con sus padres no diciéndoles la verdad sobre sus estudios.,ha estado jugando con María desde que la conoció || ha estado jugando con sus amigos durante los últimos cuatro años
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, combinar los elementos que forman algo para producir un determinado efecto estético",,siempre ha jugado con las palabras para dar impresiones equivocadas de lo que es || el pintor jugó con los colores para producir un gran efecto visual
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, mover alguien un miembro articulado según el movimiento que le es natural",,juega el brazo de arriba abajo
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, participar en un asunto",Ha jugado un importante papel en este asunto.,"ha jugado sucio en el tema del divorcio || auqnue no te lo creas, en este asunto no juego"
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, desempeñar, hacer o representar un papel; por ejemplo, realizando una determinada función",Mi padre ha jugado un rol importante en la solución del conflicto entre mis tíos.,no puedes jugar el papel de malo siempre
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, manejar una persona un arma blanca, por ejemplo una espada",,y juega el florete hasta vencer a los primeros maestros || en eso se juega la daga
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, arriesgar una cantidad de dinero en un juego de azar o en una apuesta",Jugó 10 euros en la lotería y los perdió.,ha jugado doscientos euros en la lotería de Navidad
jugar,verbo,https://diesgital.com/search?q=jugar,"en sentido figurado, tener una cosa influencia sobre otra",,la devaluación del euro ha jugado a favor de las exportaciones y en contra de las importaciones || en la subida de la bolsa han jugado algunos factores extraordinarios
juntar,verbo,https://diesgital.com/search?q=junto,"en sentido figurado, hacer alguien que varias personas vayan al mismo sitio con un objetivo determinado",El festival juntó las mejores bandas de heavy metal del país.,ha juntado a toda la familia para la boda de la hija || y los bomberos juntaron a los estudiantes en el patio para hacer un simulacro
